등급,코드,종목명,시장,현재가,등락%,G적선,G청선,T,B,U,U시그널,그물망,능선상승일,200일선위,주봉충족,주봉G적,주봉G청,주봉T,주봉B,거래량,거래량비%
주의,194370,제이에스코퍼레이션,코스피,13570,1.8,22.0,0.0,20.3,64.1,62.2,54.2,적색,14,O,X,30.5,0.0,1.8,56.7,62869,58.1
주의,000100,유한양행,코스피,80600,3.6,21.4,0.0,9.3,61.8,69.8,54.3,적색,7,X,X,21.4,9.6,-34.2,42.0,310697,112.8
주의,001800,오리온홀딩스,코스피,27750,3.16,20.4,0.0,8.8,62.2,51.0,38.7,적색,4,O,O,20.4,0.0,13.4,59.9,83277,92.9
주의,001530,DI동일,코스피,24600,1.44,20.3,0.0,6.3,55.5,47.4,44.7,적색,6,O,X,20.3,15.4,-2.4,49.8,15487,61.5
주의,136490,선진,코스피,10340,1.47,20.2,0.0,8.8,59.8,65.1,56.9,적색,6,O,X,20.2,3.7,-6.3,51.6,57083,68.0
주의,055550,신한지주,코스피,110000,2.42,20.1,0.0,6.7,60.0,63.2,49.6,적색,2,O,O,20.1,0.0,17.8,60.4,1389243,111.5
주의,068270,셀트리온,코스피,199300,2.21,20.1,0.0,18.8,64.7,63.2,47.7,적색,11,O,X,20.1,0.0,-2.3,56.4,776632,105.1
주의,034310,NICE,코스피,12960,1.89,19.9,0.0,18.8,60.1,47.4,45.0,적색,21,X,X,19.9,1.5,-9.1,50.3,32918,60.7
주의,453340,현대그린푸드,코스피,19550,0.83,19.8,0.0,20.1,65.1,49.4,40.4,적색,26,O,O,19.6,0.0,16.6,62.0,46457,97.1
주의,011200,HMM,코스피,21800,1.87,19.1,0.0,14.9,60.9,61.7,50.2,적색,14,O,X,19.1,0.0,1.3,55.7,1278741,86.6
주의,001790,대한제당,코스피,2750,0.73,19.0,5.6,8.3,57.4,50.4,43.3,적색,25,X,X,19.0,4.4,-8.4,50.7,115560,22.9
주의,038540,상상인,코스닥,2255,-0.44,18.9,0.4,14.1,68.0,49.9,62.0,청색,5,O,X,17.8,0.0,3.7,58.5,793068,453.2
주의,094800,맵스리얼티,코스피,6360,1.76,18.7,0.0,10.8,57.9,77.3,63.1,적색,0,O,X,24.7,0.0,2.1,54.2,82908,167.2
주의,095660,네오위즈,코스닥,19280,0.21,17.9,0.0,6.3,56.1,59.2,56.5,적색,7,X,X,17.9,7.6,-25.1,42.8,51874,74.4
주의,069730,DSR제강,코스피,5890,3.51,17.8,0.0,9.1,60.7,58.7,54.6,적색,4,O,O,17.1,0.0,24.6,63.6,174609,340.5
주의,207940,삼성바이오로직스,코스피,1556000,2.77,17.4,0.0,12.2,58.9,63.2,55.8,적색,12,X,X,20.2,0.0,-9.9,52.7,51786,75.7
주의,000640,동아쏘시오홀딩스,코스피,89000,0.56,17.4,0.0,12.5,57.9,61.5,53.6,적색,10,X,X,17.4,4.0,-21.7,45.2,8845,44.8
주의,344820,KCC글라스,코스피,24950,4.83,17.4,0.0,5.5,63.2,56.0,36.7,적색,4,X,X,17.4,8.2,-18.0,48.0,31098,214.4
주의,211050,인카금융서비스,코스닥,10530,-1.22,17.3,1.2,5.7,55.9,65.2,55.8,적색,5,X,X,16.7,1.2,-12.8,47.5,129025,105.0
주의,008700,아남전자,코스피,1206,-1.95,17.3,4.2,4.3,51.4,42.6,36.9,적색,9,X,X,9.6,7.0,-13.9,45.2,521188,59.5
주의,461300,아이스크림미디어,코스닥,18000,8.37,17.2,0.0,6.1,63.8,63.4,45.3,적색,4,O,X,15.2,2.9,-2.3,54.1,102957,486.2
주의,003690,코리안리,코스피,14530,-0.68,17.1,0.7,12.7,60.8,54.8,44.2,적색,6,O,O,15.0,0.0,15.3,60.9,212400,72.2
주의,108670,LX하우시스,코스피,34450,0.15,16.8,0.0,5.4,56.0,49.7,42.3,적색,5,O,X,15.2,13.1,3.8,54.6,18126,58.9
주의,018250,애경산업,코스피,11990,1.18,16.4,0.0,1.9,55.7,66.1,53.9,적색,4,X,X,16.4,18.1,-16.6,44.6,43199,119.2
주의,005430,한국공항,코스피,89800,-0.99,16.2,2.2,14.0,57.7,59.4,50.8,적색,7,O,O,19.4,1.0,21.6,61.0,3712,18.0
주의,001680,대상,코스피,18550,1.59,16.1,0.0,4.9,57.3,51.4,43.3,적색,4,X,X,16.1,7.8,-21.1,45.1,105049,146.9
주의,126560,현대퓨처넷,코스피,3285,1.08,16.1,0.0,16.4,64.3,72.1,61.1,적색,5,O,X,14.1,0.0,-11.0,54.1,105255,109.2
주의,049430,코메론,코스닥,21200,2.66,16.0,0.0,14.9,65.9,64.0,60.5,적색,6,O,O,17.9,0.0,23.0,65.6,42839,140.6
주의,007310,오뚜기,코스피,341500,2.09,15.8,0.0,9.5,61.1,63.1,48.7,적색,10,X,X,15.8,2.5,-27.3,46.6,5050,89.1
주의,317450,명인제약,코스피,46050,1.99,15.7,0.0,3.2,58.6,58.2,42.1,적색,5,X,X,,,,,22580,145.7
주의,052330,코텍,코스닥,12430,1.55,15.6,0.0,12.8,61.0,57.4,48.7,적색,23,O,O,15.6,0.0,17.6,60.5,92507,440.0
주의,026960,동서,코스피,26500,0.95,15.5,0.4,6.7,56.6,60.0,50.9,적색,2,O,X,15.5,0.0,-3.8,51.2,81714,97.3
주의,030190,NICE평가정보,코스피,15100,1.14,15.3,0.0,10.0,60.2,55.5,41.0,적색,6,X,X,15.3,0.0,-9.6,50.3,71302,96.8
주의,225570,넥슨게임즈,코스닥,9120,0.66,15.3,4.1,0.9,51.7,55.3,57.7,적색,4,X,X,15.3,25.1,-30.7,38.3,87037,70.6
주의,097950,CJ제일제당,코스피,204500,0.74,15.2,0.0,6.5,59.3,57.4,44.5,적색,8,X,X,15.2,5.1,-15.2,47.8,28982,56.3
주의,053800,안랩,코스닥,59300,1.54,15.1,0.0,8.9,62.8,62.6,52.6,적색,6,X,X,15.1,8.6,-13.7,49.8,32219,55.3
