ts_utc_seconds,funding_rate_per_8h,source
1469102400,-0.000543,bitmex_XBTUSD
1469131200,0.000131,bitmex_XBTUSD
1469160000,0.000269,bitmex_XBTUSD
1469188800,0.000128,bitmex_XBTUSD
1469217600,0.000126,bitmex_XBTUSD
1469246400,-0.000276,bitmex_XBTUSD
1469275200,-0.000394,bitmex_XBTUSD
1469304000,0.000682,bitmex_XBTUSD
1469332800,0.000537,bitmex_XBTUSD
1469361600,0.000116,bitmex_XBTUSD
1469390400,0.000122,bitmex_XBTUSD
1469419200,0.000122,bitmex_XBTUSD
1469448000,0.000123,bitmex_XBTUSD
1469476800,-0.000494,bitmex_XBTUSD
1469505600,-0.000466,bitmex_XBTUSD
1469534400,3.2e-05,bitmex_XBTUSD
1469563200,0.000118,bitmex_XBTUSD
1469592000,0.000112,bitmex_XBTUSD
1469620800,-5.9e-05,bitmex_XBTUSD
1469649600,-0.000507,bitmex_XBTUSD
1469678400,5.2e-05,bitmex_XBTUSD
1469707200,0.000931,bitmex_XBTUSD
1469736000,0.001155,bitmex_XBTUSD
1469764800,8.1e-05,bitmex_XBTUSD
1469793600,-0.000565,bitmex_XBTUSD
1469822400,2e-05,bitmex_XBTUSD
1469851200,8.3e-05,bitmex_XBTUSD
1469880000,8.2e-05,bitmex_XBTUSD
1469908800,5.1e-05,bitmex_XBTUSD
1469937600,-0.000205,bitmex_XBTUSD
1469966400,-0.000315,bitmex_XBTUSD
1469995200,-0.001254,bitmex_XBTUSD
1470024000,-0.000235,bitmex_XBTUSD
1470052800,-0.001021,bitmex_XBTUSD
1470081600,-0.001146,bitmex_XBTUSD
1470110400,-0.001155,bitmex_XBTUSD
1470139200,-0.001121,bitmex_XBTUSD
1470168000,-0.000649,bitmex_XBTUSD
1470196800,-0.003071,bitmex_XBTUSD
1470225600,-0.006821,bitmex_XBTUSD
1470254400,-0.006473,bitmex_XBTUSD
1470283200,-0.005813,bitmex_XBTUSD
1470312000,-0.002411,bitmex_XBTUSD
1470340800,-0.002101,bitmex_XBTUSD
1470369600,-0.004203,bitmex_XBTUSD
1470398400,-0.001655,bitmex_XBTUSD
1470427200,-0.001555,bitmex_XBTUSD
1470456000,-0.002718,bitmex_XBTUSD
1470484800,-0.002256,bitmex_XBTUSD
1470513600,-0.003371,bitmex_XBTUSD
1470542400,0.000379,bitmex_XBTUSD
1470571200,-0.000257,bitmex_XBTUSD
1470600000,-0.00094,bitmex_XBTUSD
1470628800,-0.000914,bitmex_XBTUSD
1470657600,-0.000779,bitmex_XBTUSD
1470686400,0.000239,bitmex_XBTUSD
1470715200,3.7e-05,bitmex_XBTUSD
1470744000,-0.000386,bitmex_XBTUSD
1470772800,7.8e-05,bitmex_XBTUSD
1470801600,0.000736,bitmex_XBTUSD
1470830400,0.000173,bitmex_XBTUSD
1470859200,0.000938,bitmex_XBTUSD
1470888000,0.000644,bitmex_XBTUSD
1470916800,-0.000956,bitmex_XBTUSD
1470945600,7.8e-05,bitmex_XBTUSD
1470974400,7.8e-05,bitmex_XBTUSD
1471003200,7.8e-05,bitmex_XBTUSD
1471032000,-0.00039,bitmex_XBTUSD
1471060800,-0.000389,bitmex_XBTUSD
1471089600,0.000296,bitmex_XBTUSD
1471118400,-8.7e-05,bitmex_XBTUSD
1471147200,-0.000167,bitmex_XBTUSD
1471176000,-0.000188,bitmex_XBTUSD
1471204800,-0.00026,bitmex_XBTUSD
1471233600,-0.001202,bitmex_XBTUSD
1471262400,-0.001919,bitmex_XBTUSD
1471291200,-0.002166,bitmex_XBTUSD
1471320000,-0.000663,bitmex_XBTUSD
1471348800,-0.000325,bitmex_XBTUSD
1471377600,-0.000128,bitmex_XBTUSD
1471406400,-0.000126,bitmex_XBTUSD
1471435200,-0.000753,bitmex_XBTUSD
1471464000,-0.000624,bitmex_XBTUSD
1471492800,-0.000172,bitmex_XBTUSD
1471521600,0.000757,bitmex_XBTUSD
1471550400,0.001583,bitmex_XBTUSD
1471579200,0.001661,bitmex_XBTUSD
1471608000,0.000731,bitmex_XBTUSD
1471636800,-0.000214,bitmex_XBTUSD
1471665600,-0.000211,bitmex_XBTUSD
1471694400,-0.000204,bitmex_XBTUSD
1471723200,0.000776,bitmex_XBTUSD
1471752000,0.001231,bitmex_XBTUSD
1471780800,0.00049,bitmex_XBTUSD
1471809600,-0.000198,bitmex_XBTUSD
1471838400,-0.000196,bitmex_XBTUSD
1471867200,-0.000217,bitmex_XBTUSD
1471896000,0.000101,bitmex_XBTUSD
1471924800,0.001095,bitmex_XBTUSD
1471953600,0.000731,bitmex_XBTUSD
1471982400,-0.000127,bitmex_XBTUSD
1472011200,-0.000165,bitmex_XBTUSD
1472040000,-0.000142,bitmex_XBTUSD
1472068800,0.002761,bitmex_XBTUSD
1472097600,0.00028,bitmex_XBTUSD
1472126400,-0.001344,bitmex_XBTUSD
1472155200,-0.000376,bitmex_XBTUSD
1472184000,0.000668,bitmex_XBTUSD
1472212800,0.001204,bitmex_XBTUSD
1472241600,0.001259,bitmex_XBTUSD
1472270400,0.000335,bitmex_XBTUSD
1472299200,-0.000185,bitmex_XBTUSD
1472328000,-0.000198,bitmex_XBTUSD
1472356800,-0.000116,bitmex_XBTUSD
1472385600,0.000193,bitmex_XBTUSD
1472414400,-0.000401,bitmex_XBTUSD
1472443200,-0.000306,bitmex_XBTUSD
1472472000,-3e-06,bitmex_XBTUSD
1472500800,0.000733,bitmex_XBTUSD
1472529600,-0.000202,bitmex_XBTUSD
1472558400,-0.000234,bitmex_XBTUSD
1472587200,-0.000272,bitmex_XBTUSD
1472616000,7.8e-05,bitmex_XBTUSD
1472644800,0.000748,bitmex_XBTUSD
1472673600,0.001136,bitmex_XBTUSD
1472702400,0.002567,bitmex_XBTUSD
1472731200,0.003108,bitmex_XBTUSD
1472760000,0.001602,bitmex_XBTUSD
1472788800,6.7e-05,bitmex_XBTUSD
1472817600,-0.000701,bitmex_XBTUSD
1472846400,-0.000924,bitmex_XBTUSD
1472875200,-0.000202,bitmex_XBTUSD
1472904000,0.001066,bitmex_XBTUSD
1472932800,-5e-05,bitmex_XBTUSD
1472961600,-3.1e-05,bitmex_XBTUSD
1472990400,5.1e-05,bitmex_XBTUSD
1473019200,0.001067,bitmex_XBTUSD
1473048000,0.002951,bitmex_XBTUSD
1473076800,0.003223,bitmex_XBTUSD
1473105600,0.000859,bitmex_XBTUSD
1473134400,0.000726,bitmex_XBTUSD
1473163200,0.0009,bitmex_XBTUSD
1473192000,0.000848,bitmex_XBTUSD
1473220800,0.001796,bitmex_XBTUSD
1473249600,0.001444,bitmex_XBTUSD
1473278400,0.001168,bitmex_XBTUSD
1473307200,9.1e-05,bitmex_XBTUSD
1473336000,-0.001844,bitmex_XBTUSD
1473364800,0.000249,bitmex_XBTUSD
1473393600,0.001469,bitmex_XBTUSD
1473422400,0.002872,bitmex_XBTUSD
1473451200,0.003484,bitmex_XBTUSD
1473480000,0.000515,bitmex_XBTUSD
1473508800,0.000659,bitmex_XBTUSD
1473537600,0.000912,bitmex_XBTUSD
1473566400,0.001778,bitmex_XBTUSD
1473595200,0.001514,bitmex_XBTUSD
1473624000,0.001194,bitmex_XBTUSD
1473652800,0.001351,bitmex_XBTUSD
1473681600,-0.000162,bitmex_XBTUSD
1473710400,-0.000634,bitmex_XBTUSD
1473739200,-0.000321,bitmex_XBTUSD
1473768000,9.2e-05,bitmex_XBTUSD
1473796800,0.000146,bitmex_XBTUSD
1473825600,-7.8e-05,bitmex_XBTUSD
1473854400,-0.0005,bitmex_XBTUSD
1473883200,-0.000556,bitmex_XBTUSD
1473912000,-0.000461,bitmex_XBTUSD
1473940800,-0.000383,bitmex_XBTUSD
1473969600,-0.000279,bitmex_XBTUSD
1473998400,-2.9e-05,bitmex_XBTUSD
